Name,Address,Phone,Website,Rating,Open_Now,Maps_URL,Location
Osuntoks Automobile,"Plot 130 rainbow estate, arapaja road, odo Ona kekere, Ibadan, Oluyole, Ibadan 200261, Oyo, Nigeria",0805 281 1078,,,False,https://www.google.com/maps/place/?q=place_id:ChIJh8Bxo5ePORARTkKHrBD9LLE,Ibadan
Don Jay Auto Sales,"9V74+X7H Don J Plaza, Oluyole Extension High School, Alaafin Ave, Olubadan Ave, Oluyole, Ibadan 200257, Oyo, Nigeria",0703 519 4130,,4.8,False,https://www.google.com/maps/place/?q=place_id:ChIJKzFtzmmMORARPovjTWD30gU,Ibadan
Car dealers in Ibadan,"9WWP+JWH, Agodi Gate Way, Ibadan 200113, Oyo, Nigeria",0815 786 3878,https://naijamomoo.blogspot.com/,,True,https://www.google.com/maps/place/?q=place_id:ChIJawENC76TORARj-VK9Yy3mIM,Ibadan
Autobasics Carmart,"Ibadan 110115, Oyo, Nigeria",0706 134 2779,,4.3,False,https://www.google.com/maps/place/?q=place_id:ChIJmc1BeCSMORARSGEwzJf2CRw,Ibadan
German Auto Dealer,"Block 45 Plot 15 Nurudeen Abayomi Avenue, Green Gate, Oluyole Estate Road, Oluyole, Ibadan 200257, Oyo, Nigeria",,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJRbJ4NhWNORARjxExqFLDOyA,Ibadan
Ms comfort autos,"Plot 14 Jembewon Road, Sabo Road, Mokola Rd, opposite Letmauck Barracks, Ibadan, 200284, Oyo, Nigeria",0806 431 1210,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJPWaiWceNORARwQswg4VYmw4,Ibadan
The Honda Place,"MKO Abiola Ring Road, South West, Oluyole, Ibadan 200273, Oyo, Nigeria",0802 974 8196,http://www.honda.com.ng/,3.7,False,https://www.google.com/maps/place/?q=place_id:ChIJobnxPrSNORARICt8rACCncI,Ibadan
Eminent Autos & Interbiz Ltd,"Basorun Rd, Ibadan 200285, Oyo, Nigeria",0706 770 5835,http://www.instagram.com/eminentautos,4.3,True,https://www.google.com/maps/place/?q=place_id:ChIJB1p-W4STORARhAuzw8bZyhs,Ibadan
Henry Tee Motors,"9V69+5M9, 76 MKO Abiola Way, Oluyole, Ibadan 200273, Oyo, Nigeria",,,4.1,,https://www.google.com/maps/place/?q=place_id:ChIJ_SFMcSCNORARJfZjxcaFtXM,Ibadan
Bodap Motors LTD,"CWC6+v4j, bodija, Ibadan 200285, Oyo, Nigeria",0911 087 8741,,,False,https://www.google.com/maps/place/?q=place_id:ChIJm0TqDgDtORARduV6foLwVJ4,Ibadan
Descod Autos and Investment,"Opposite Sao filling station, Fatimoh junction Odo-Ona, Apata Rd, Apata, Ibadan 200262, Oyo, Nigeria",0701 218 3494,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJjw6t1dSNORARrUOHOr0w_fs,Ibadan
ECOESSENCE ENTERPRISES,"Plot 5 Rd 3, okunade layout yawiri, Akobo, Ibadan 200121, Oyo, Nigeria",0708 309 3638,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJUVSA7xyLORARmd28dYVLRXE,Ibadan
Car Dora,"Alao Akala Expy, Oluyole, Ibadan 110115, Oyo, Nigeria",0703 576 5892,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJMQ5U9-CNORAR9xL8evBPKDI,Ibadan
GTIN Motors,"Block 7, Shop 2, New motor Dealer Park, Akala expressway, Ibadan 110115, Oyo, Nigeria",0802 351 8132,,,,https://www.google.com/maps/place/?q=place_id:ChIJNYabbR-PORARdCP5YawmbDY,Ibadan
C-AUTOMOBILES,"9WW5+36Q, Ibadan 200285, Oyo, Nigeria",,,5.0,,https://www.google.com/maps/place/?q=place_id:ChIJdYd3OwGTORARZqw-xPAuFfE,Ibadan
BALM IN GILEAD AUTOS,"Challenge, Ibadan 200131, Oyo, Nigeria",0806 999 2556,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJdc0kbiiNORAR1G7WzwvNzvs,Ibadan
CYNDYAUTOS,"Shop No.7, omo Oke complex Akala express, Kuola - Aba Paanu Rd, Ibadan 200224, Oyo, Nigeria",,,,False,https://www.google.com/maps/place/?q=place_id:ChIJC3PLFSmLORARYMtnKqyBdTI,Ibadan
Shashi Impex Concept,"101 MKO Abiola Way, Ibadan 200273, Oyo, Nigeria",0805 811 1773,,4.6,False,https://www.google.com/maps/place/?q=place_id:ChIJXxpmiLaNORARiYEUKau211I,Ibadan
Fresh Auto Empire,"Oluyole, Ibadan 200273, Oyo, Nigeria",0814 280 4785,http://www_freshupdates.com/,,True,https://www.google.com/maps/place/?q=place_id:ChIJARjA6CyNORARCzJqvMmmPIs,Ibadan
Car Dealer,"KD Complex,White House Eid, Agodi Gate Road, Agodi, Ibadan 200132, Oyo, Nigeria",0706 531 2698,,,False,https://www.google.com/maps/place/?q=place_id:ChIJpWFodT2TORARWR2kYyYsnys,Ibadan
IIRE CARS,"CW9M+6G3, Orita Bashorun Road, Ibadan 200223, Oyo, Nigeria",0915 107 2550,,,True,https://www.google.com/maps/place/?q=place_id:ChIJo__9yuOTORAR8J1w5RYQhAQ,Ibadan
KGLAUTOS,"Beside adegoke motors..lagos byepass, Challenge Expressway, Oluyole, Ibadan 110115, Oyo, Nigeria",0814 327 0928,http://www.instagram.com/kglautos,,False,https://www.google.com/maps/place/?q=place_id:ChIJvWVY46yPORARdb-Lr4VoKgE,Ibadan
LEXY AUTOS,"1st FLOOR, NO 32, AJITADIDUN BUILDING, AGO AGO TAYLOR, ABEOKUTA ROAD, ODO-ONA IBADAN South West, New Gra, Ibadan 202110, Oyo, Nigeria",0813 929 9910,,,True,https://www.google.com/maps/place/?q=place_id:ChIJV1Ek85uNORARvJ-rNSHK204,Ibadan
Aremrem Autos,"CW5H+GF4 Besides Redeem Church, Basorun Rd, Ibadan 040717, Oyo, Nigeria",0816 069 0008,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJKV2e3dGTORARlNRwWy5xGFA,Ibadan
Beloved Autos,"Coca-Cola Leventis Ibadan, Mokola Hill, Ibadan 200285, Oyo, Nigeria",0810 772 5250,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJEQ2pFTKNORAR3GQ6QBposJc,Ibadan
Aloo motors,"No 186 obafemi awolowo way oke ado, Southwest, Ibadan 100001, Oyo, Nigeria",0811 311 1667,,3.0,False,https://www.google.com/maps/place/?q=place_id:ChIJH9OHAjqNORARw9rQH8cPCTk,Ibadan
AJI AUTOS AIRPORT,"Airport alakia, Egbeda, Ibadan 200224, Oyo, Nigeria",0708 701 4168,,5.0,True,https://www.google.com/maps/place/?q=place_id:ChIJ25mGIqKTORARXfCLKbYMBlA,Ibadan
ALFOSCAR MOTORS,"9XR7+GH5 J G ACADEMY, Ibadan 200113, Oyo, Nigeria",0803 334 6212,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJfa9AIgCTORARCxx4tuo6GTQ,Ibadan
Ola-oluwa Motors,"CW2F+H26, adjacent Kola Daisi civic centre hall, Agodi, Ibadan 200285, Oyo, Nigeria",0803 464 8102,,4.0,False,https://www.google.com/maps/place/?q=place_id:ChIJz7lo85mTORAR9I_jpx3CeSE,Ibadan
Bencao Automobiles,"9V86+Q6Q Bencao place, Oluyole, Ibadan 200273, Oyo, Nigeria",0704 100 1983,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJg-8l6lKNORARIm3TvPLEKFo,Ibadan
Betacar HQ (Betacar.ng) | Foreign Used Cars for Sale | Buy Tokunbo Cars in Nigeria,"Block 126, Plot 1, 1 T. F. Kuboye Rd, Lekki Phase 1, Lekki 106104, Lagos, Nigeria",0809 460 0008,https://betacar.ng/,4.3,False,https://www.google.com/maps/place/?q=place_id:ChIJx-Lhegr1OxAREcLKOzZzr-k,Ibadan
Alase Giwa Motors,"Number 2 Alarere Avenue & Lagos-Ibadan Expressway, Ibadan, Oyo 200113, Oyo, Nigeria",0902 740 0128,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJ5xtC5ViTORARYpeyQgM4Nzw,Ibadan
Coscharis Motors,"Ibadan 200132, Oyo, Nigeria",,,3.7,,https://www.google.com/maps/place/?q=place_id:ChIJ2Y0pmEqTORARjeqzPHQpcSw,Ibadan
Fatai Olarenwaju Motors,"8WV8+97W, Lagos - Ojoo Expy, Ibadan 200258, Oyo, Nigeria",,,4.3,,https://www.google.com/maps/place/?q=place_id:ChIJ0aJsOQWSORARJkEN9oL5PG4,Ibadan
Ama Motors,"48,Oke Ado, Akintola Onifade Cres, New Gra, Ibadan 200273, Oyo, Nigeria",0806 630 6090,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJa6RaYjCNORARrGC5tpMiAJk,Ibadan
PRINCEADEX AUTOS,"Osu-naira Nigeria Ltd, Ibadan 200101, Oyo, Nigeria",0802 571 6627,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJ6dK3Vw7tORARgNhkQwdm0Ec,Ibadan
Walexcab service,"Ajameta, Papa Alakia-Isebo Road, Egbeda, Ibadan 200113, Oyo, Nigeria",0703 655 9300,,,True,https://www.google.com/maps/place/?q=place_id:ChIJq0sVEMSTORARLUgQxr7llPM,Ibadan
Ibadan Auto Zone,"175 Obafemi Awolowo Way, Oke Ado, Ibadan 200273, Oyo, Nigeria",0805 083 3860,,,False,https://www.google.com/maps/place/?q=place_id:ChIJjZlS-GJ7OxARs8D3cG1hcME,Ibadan
Legba Easy Car Dealer & Properties,"Baaki Plaza, Opp Yidi Jagun, Evesaer, Ibadan 200113, Oyo, Nigeria",0803 044 1355,,,False,https://www.google.com/maps/place/?q=place_id:ChIJtQJP-2aTORAREBzKhtAelq8,Ibadan
LAST BORN AUTO INTEGRATED CONCEPT,"Ifelodun bus stop, Amuloko street, LG, Olunloyo, Ibadan 201103, Oyo, Nigeria",0810 226 4677,,,True,https://www.google.com/maps/place/?q=place_id:ChIJ8fTPmHmTORAR-28FQRUcXjY,Ibadan
Vnics Motors,"Suite No. 47 - 48 Mobus Shopping Complex, Opposite New Gbagi Market, Ibadan 200113, Oyo, Nigeria",0802 392 3997,,,False,https://www.google.com/maps/place/?q=place_id:ChIJE_7ZrBuTORARryPTlKGW7zQ,Ibadan
Marziah Auto,"Directly Opposite Ventura Mall Sango/Samonda Road, Ibadan 200132, Oyo, Nigeria",0818 854 0501,,5.0,,https://www.google.com/maps/place/?q=place_id:ChIJAQAAQKjyORARp4czlb6RQXI,Ibadan
Ma adetunji Autos,"Salami street, Basorun Rd, Akobo, Ibadan 211107, Oyo, Nigeria",0905 686 6641,,,False,https://www.google.com/maps/place/?q=place_id:ChIJFy8EOXGTORAR07nPMS-WaMU,Ibadan
WAL-BOG MOTORS,"SW8/1968 Sogbesan Street, Obafemi Awolowo Way, opposite Imalefalafia, Ibadan 234200, Oyo, Nigeria",0813 402 5102,,,True,https://www.google.com/maps/place/?q=place_id:ChIJDSx6RX-NORARfiu4smc3dFY,Ibadan
Ultimike Motors,"NO 11 BAAKI PLAZA BESIDE MR BIGGS OR OPP YIDI JAGUN, Old Ife Rd, Ibadan 200113, Oyo, Nigeria",0805 697 9522,,4.0,False,https://www.google.com/maps/place/?q=place_id:ChIJCXu4fRqTORARmt7eS9MlQtA,Ibadan
Tao Motors,"Middle Floor, Deeper Life Junction, Al-Ameen Complex, Old Ife Rd, Egbeda, Ibadan 200113, Oyo, Nigeria",0813 117 5006,,,False,https://www.google.com/maps/place/?q=place_id:ChIJCb_pcPuTORAR9MZa14QyOPk,Ibadan
KOLLYBRIGHT AUTO VENTURE,"230 Obafemi Awolowo Way, Ibadan 200273, Oyo, Nigeria",0803 423 2223,,5.0,False,https://www.google.com/maps/place/?q=place_id:ChIJvwDrri2NORARmNiVaU0YOoU,Ibadan
JOMACOLT AUTOS,"CW73+5G7, Mokola Hill, Ibadan 200285, Oyo, Nigeria",,,4.5,False,https://www.google.com/maps/place/?q=place_id:ChIJ4ainR6KNORAR8qwFleA2054,Ibadan
FortuneAutos,"ibadan, road, adjacent triumph filling station, Oleyo 110115, Oyo, Nigeria",0810 227 0180,,3.0,False,https://www.google.com/maps/place/?q=place_id:ChIJcbtFKOKJORARRAdW7MkfbSw,Ibadan
Munaa's Concept Global Ventures,"Alari Shopping Complex, Beside Ola Sheu Filling Station, Raji Street, Iwo Road, Lagos-Ojoo Expressway, Iwo Road, Ibadan, Oyo 200258, Oyo, Nigeria",0803 052 3252,,3.8,False,https://www.google.com/maps/place/?q=place_id:ChIJpVYBjN6SORARjsIZ37ZOXyw,Ibadan
